spawningyear,commonpopname,subpop,tsaej
1986,NF Toutle (winter),NF_Toutle_Green_only,
1986,NF Toutle (winter),NF_Toutle_Total,
2023,NF Toutle (winter),NF_Toutle_Green_only,258
2024,NF Toutle (winter),NF_Toutle_Green_only,630
2024,NF Toutle (winter),NF_Toutle_Total,816
2025,NF Toutle (winter),NF_Toutle_Green_only,501
2025,NF Toutle (winter),NF_Toutle_Total,
