spawningyear,commonpopname,subpop,tsaej,source
1991,Kalama (winter),Kalama_winter_total,1378,SPI
1992,Kalama (winter),Kalama_winter_total,2993,SPI
1993,Kalama (winter),Kalama_winter_total,1248,SPI
1994,Kalama (winter),Kalama_winter_total,996,SPI
1995,Kalama (winter),Kalama_winter_total,1406,SPI
1996,Kalama (winter),Kalama_winter_total,1677,SPI
1997,Kalama (winter),Kalama_winter_total,555,SPI
1998,Kalama (winter),Kalama_winter_total,471,SPI
1999,Kalama (winter),Kalama_winter_total,543,SPI
2000,Kalama (winter),Kalama_winter_total,907,SPI
2001,Kalama (winter),Kalama_winter_total,1035,SPI
2002,Kalama (winter),Kalama_winter_total,1493,SPI
2003,Kalama (winter),Kalama_winter_total,1815,SPI
2004,Kalama (winter),Kalama_winter_total,2400,SPI
2005,Kalama (winter),Kalama_winter_total,1856,SPI
2006,Kalama (winter),Kalama_winter_total,1724,SPI
2007,Kalama (winter),Kalama_winter_total,1131,Harris/Historical
2008,Kalama (winter),Kalama_winter_total,810,Harris/Historical
2009,Kalama (winter),Kalama_winter_total,1085,Harris/Historical
2010,Kalama (winter),Kalama_winter_total,957,Harris/Historical
2011,Kalama (winter),Kalama_winter_total,617,Harris/Historical
2012,Kalama (winter),Kalama_winter_total,1109,Harris/Historical
2013,Kalama (winter),Kalama_winter_total,954,Harris/Historical
2014,Kalama (winter),Kalama_winter_total,1205,Harris/Historical
2015,Kalama (winter),Kalama_winter_total,1429,Harris/Historical
2016,Kalama (winter),Kalama_winter_total,1319,Harris/Historical
2017,Kalama (winter),Kalama_winter_total,763,Harris/Historical
2018,Kalama (winter),Kalama_winter_total,752,Harris/Jetter
2019,Kalama (winter),Kalama_winter_total,233,Harris/Jetter
2020,Kalama (winter),Kalama_winter_total,810,Harris/Jetter
2021,Kalama (winter),Kalama_winter_total,361,Harris/Jetter
2022,Kalama (winter),Kalama_winter_total,826,Harris/Jetter
2023,Kalama (winter),Kalama_winter_total,580,Harris/Jetter
2024,Kalama (winter),Kalama_winter_total,951,Harris/Jetter
2025,Kalama (winter),Kalama_winter_total,459,Harris/Jetter
